Derivatives on Individual Securities,Symbol    ,APR-22     ,MAY-22     ,JUN-22     ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,
AARTI INDUSTRIES LTD                ,AARTIIND  ,850        ,850        ,850        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
ABB INDIA LIMITED                   ,ABB       ,250        ,250        ,250        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
ABBOTT INDIA LIMITED                ,ABBOTINDIA,25         ,25         ,25         ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
ADITYA BIRLA FASHION & RT           ,ABFRL     ,2600       ,2600       ,2600       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
ACC LIMITED                         ,ACC       ,250        ,250        ,250        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
ADANI ENTERPRISES LIMITED           ,ADANIENT  ,500        ,500        ,500        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
AMARA RAJA BATTERIES LTD.           ,AMARAJABAT,1000       ,1000       ,1000       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
AMBUJA CEMENTS LTD                  ,AMBUJACEM ,1500       ,1500       ,1500       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
ALEMBIC PHARMA LTD                  ,APLLTD    ,700        ,700        ,700        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
APOLLO HOSPITALS ENTER. L           ,APOLLOHOSP,125        ,125        ,125        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
APOLLO TYRES LTD                    ,APOLLOTYRE,2500       ,2500       ,2500       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
ASTRAL LIMITED                      ,ASTRAL    ,275        ,275        ,275        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
ATUL LTD                            ,ATUL      ,75         ,75         ,75         ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
AUROBINDO PHARMA LTD                ,AUROPHARMA,750        ,750        ,750        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
AXIS BANK LIMITED                   ,AXISBANK  ,1200       ,1200       ,1200       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
BAJAJ FINANCE LIMITED               ,BAJFINANCE,125        ,125        ,125        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
BALRAMPUR CHINI MILLS LTD           ,BALRAMCHIN,1600       ,1600       ,1600       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
BANDHAN BANK LIMITED                ,BANDHANBNK,1800       ,1800       ,1800       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
BANK OF BARODA                      ,BANKBARODA,11700      ,11700      ,11700      ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
BATA INDIA LTD                      ,BATAINDIA ,550        ,550        ,550        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
BHARAT ELECTRONICS LTD              ,BEL       ,3800       ,3800       ,3800       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
BERGER PAINTS (I) LTD               ,BERGEPAINT,1100       ,1100       ,1100       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
BHARAT FORGE LTD                    ,BHARATFORG,750        ,750        ,750        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
BHARTI AIRTEL LIMITED               ,BHARTIARTL,950        ,950        ,950        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
BHEL                                ,BHEL      ,10500      ,10500      ,10500      ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
BIOCON LIMITED.                     ,BIOCON    ,2300       ,2300       ,2300       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
BHARAT PETROLEUM CORP  LT           ,BPCL      ,1800       ,1800       ,1800       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
BIRLASOFT LIMITED                   ,BSOFT     ,1300       ,1300       ,1300       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
ZYDUS LIFESCIENCES LTD              ,ZYDUSLIFE ,1100       ,1100       ,1100       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
CAN FIN HOMES LTD                   ,CANFINHOME,975        ,975        ,975        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
CHAMBAL FERTILIZERS LTD             ,CHAMBLFERT,1500       ,1500       ,1500       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
CHOLAMANDALAM IN & FIN CO           ,CHOLAFIN  ,1250       ,1250       ,1250       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
COAL INDIA LTD                      ,COALINDIA ,4200       ,4200       ,4200       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
COFORGE LIMITED                     ,COFORGE   ,100        ,100        ,100        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
COLGATE PALMOLIVE LTD.              ,COLPAL    ,350        ,350        ,350        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
CONTAINER CORP OF IND LTD           ,CONCOR    ,800        ,800        ,800        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
COROMANDEL INTERNTL. LTD            ,COROMANDEL,625        ,625        ,625        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
CUMMINS INDIA LTD                   ,CUMMINSIND,600        ,600        ,600        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
DABUR INDIA LTD                     ,DABUR     ,1250       ,1250       ,1250       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
DALMIA BHARAT LIMITED               ,DALBHARAT ,250        ,250        ,250        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
DEEPAK NITRITE LTD                  ,DEEPAKNTR ,250        ,250        ,250        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
DELTA CORP LIMITED                  ,DELTACORP ,2300       ,2300       ,2300       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
DLF LIMITED                         ,DLF       ,1650       ,1650       ,1650       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
DR. REDDY S LABORATORIES            ,DRREDDY   ,125        ,125        ,125        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
EICHER MOTORS LTD                   ,EICHERMOT ,350        ,350        ,350        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
ESCORTS INDIA LTD                   ,ESCORTS   ,550        ,550        ,550        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
EXIDE INDUSTRIES LTD                ,EXIDEIND  ,3600       ,3600       ,3600       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
FIRSTSOURCE SOLU. LTD.              ,FSL       ,2600       ,2600       ,2600       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
GLENMARK PHARMACEUTICALS            ,GLENMARK  ,1150       ,1150       ,1150       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
GMR INFRASTRUCTURE LTD.             ,GMRINFRA  ,22500      ,22500      ,22500      ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
GUJ NAR VAL FER & CHEM L            ,GNFC      ,1300       ,1300       ,1300       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
GODREJ PROPERTIES LTD               ,GODREJPROP,325        ,325        ,325        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
GRANULES INDIA LIMITED              ,GRANULES  ,1550       ,1550       ,1550       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
GRASIM INDUSTRIES LTD               ,GRASIM    ,475        ,475        ,475        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
GUJARAT STATE PETRO LTD             ,GSPL      ,1700       ,1700       ,1700       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
GUJARAT GAS LIMITED                 ,GUJGASLTD ,1250       ,1250       ,1250       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
HDFC LTD                            ,HDFC      ,300        ,300        ,300        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
HDFC AMC LIMITED                    ,HDFCAMC   ,200        ,200        ,200        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
HDFC BANK LTD                       ,HDFCBANK  ,550        ,550        ,550        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
HERO MOTOCORP LIMITED               ,HEROMOTOCO,300        ,300        ,300        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
HINDUSTAN COPPER LTD                ,HINDCOPPER,4300       ,4300       ,4300       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
HINDUSTAN PETROLEUM CORP            ,HINDPETRO ,2700       ,2700       ,2700       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
HINDUSTAN UNILEVER LTD.             ,HINDUNILVR,300        ,300        ,300        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
HONEYWELL AUTOMATION IND            ,HONAUT    ,15         ,15         ,15         ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
ICICI BANK LTD.                     ,ICICIBANK ,1375       ,1375       ,1375       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
ICICI PRU LIFE INS CO LTD           ,ICICIPRULI,750        ,750        ,750        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
IDFC LIMITED                        ,IDFC      ,10000      ,10000      ,10000      ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
IDFC FIRST BANK LIMITED             ,IDFCFIRSTB,11100      ,11100      ,11100      ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
INDIAN ENERGY EXC LTD               ,IEX       ,3750       ,3750       ,3750       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
THE INDIAN HOTELS CO. LTD           ,INDHOTEL  ,4022       ,4022       ,4022       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
THE INDIA CEMENTS LIMITED           ,INDIACEM  ,2900       ,2900       ,2900       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
INDIAMART INTERMESH LTD             ,INDIAMART ,75         ,75         ,75         ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
INDUSIND BANK LIMITED               ,INDUSINDBK,900        ,900        ,900        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
INDUS TOWERS LIMITED                ,INDUSTOWER,2800       ,2800       ,2800       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
INTELLECT DESIGN ARENA              ,INTELLECT ,750        ,750        ,750        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
INDIAN OIL CORP LTD                 ,IOC       ,6500       ,6500       ,6500       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
INDIAN RAIL TOUR CORP LTD           ,IRCTC     ,875        ,875        ,875        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
ITC LTD                             ,ITC       ,3200       ,3200       ,3200       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
ASIAN PAINTS LIMITED                ,ASIANPAINT,150        ,150        ,150        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
JUBILANT FOODWORKS LTD              ,JUBLFOOD  ,125        ,125        ,125        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
KOTAK MAHINDRA BANK LTD             ,KOTAKBANK ,400        ,400        ,400        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
L&T FINANCE HOLDINGS LTD            ,L&TFH     ,8924       ,8924       ,8924       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
DR. LAL PATH LABS LTD.              ,LALPATHLAB,125        ,125        ,125        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
LAURUS LABS LIMITED                 ,LAURUSLABS,900        ,900        ,900        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
LIC HOUSING FINANCE LTD             ,LICHSGFIN ,2000       ,2000       ,2000       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
LARSEN & TOUBRO LTD.                ,LT        ,575        ,575        ,575        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
L&T INFOTECH LIMITED                ,LTI       ,150        ,150        ,150        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
L&T TECHNOLOGY SER. LTD.            ,LTTS      ,200        ,200        ,200        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
LUPIN LIMITED                       ,LUPIN     ,850        ,850        ,850        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
MAHINDRA & MAHINDRA LTD             ,M&M       ,700        ,700        ,700        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
ADITYA BIRLA CAPITAL LTD.           ,ABCAPITAL ,4400       ,4400       ,4400       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
M&M FIN. SERVICES LTD               ,M&MFIN    ,4000       ,4000       ,4000       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
MANAPPURAM FINANCE LTD              ,MANAPPURAM,3000       ,3000       ,3000       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
MARICO LIMITED                      ,MARICO    ,1000       ,1000       ,1000       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
MARUTI SUZUKI INDIA LTD.            ,MARUTI    ,100        ,100        ,100        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
UNITED SPIRITS LIMITED              ,MCDOWELL-N,1250       ,1250       ,1250       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
METROPOLIS HEALTHCARE LTD           ,METROPOLIS,200        ,200        ,200        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
MAX FINANCIAL SERV LTD              ,MFSL      ,650        ,650        ,650        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
MINDTREE LIMITED                    ,MINDTREE  ,200        ,200        ,200        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
